abandonment_reason,abandonment_reason_work,age_group,cart_abandonment,city,competitor_primary,competitor_usage,competitor_usage_flag,competitor_usage_work,decision_factor,decision_factor_work,decision_style,delivery_delay,delivery_delay_score,Sum of factor_cuisine_preference,Sum of factor_delivery_time,Sum of factor_discounts_offers,Sum of factor_price,Sum of factor_rating_reviews,improvement,improvement_category,improvement_clean,intent,intent _clean,intent_group,occupation,Sum of reason_changed_mind,Sum of reason_found_better_option,Sum of reason_high_delivery_charges,Sum of reason_long_delivery_time,satisfaction,satisfaction_score,usage_frequency
Changed My Mind,Changed My Mind,18-24,No,Mohali,Others,Yes,1,yes,Ratings & Reviews,Ratings & Reviews,Compare,Sometimes,2,0,0,0,0,1,Nothing,No Feedback,nothing,Exploring Restaurants,Exploring restaurants,Low Intent,Working Professional,1,0,0,0,Neutral,3,Weekly
Changed My Mind,Changed My Mind,18-24,Yes,Ahmedabad,Swiggy,"Yes, Swiggy. Mainly To Compare Prices And Offers.",1,"yes, swiggy. mainly to compare prices and offers.","Price, Ratings & Reviews, Delivery Time","Price, Ratings & Reviews, Delivery Time",Compare,Rarely,1,0,1,0,1,1,N/A,Others,n/a,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,1,0,0,0,Very Satisfied,5,Weekly
Changed My Mind,Changed My Mind,18-24,Yes,Malout,Others,Na,1,na,"Price, Ratings & Reviews, Discounts/Offers, Cuisine Preference","Price, Ratings & Reviews, Discounts/Offers, Cuisine Preference",Quickly,Never,0,1,0,1,1,1,Nothing,No Feedback,nothing,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,1,0,0,0,Very Satisfied,5,Rarely
Changed My Mind,Changed My Mind,25-34,No,Mumbai,Others,Just Check How Others App Provide Service,1,just check how others app provide service,Ratings & Reviews,Ratings & Reviews,Compare,Rarely,1,0,0,0,0,1,Na,Others,na,Exploring Restaurants,Exploring restaurants,Low Intent,Working Professional,1,0,0,0,Neutral,3,Rarely
Changed My Mind,Changed My Mind,25-34,No,Noida,Swiggy,Yes I Have Also Used Swiggy,1,yes i have also used swiggy,"Ratings & Reviews, Discounts/Offers","Ratings & Reviews, Discounts/Offers",Compare,Never,0,0,0,1,0,1,Please Given Discount And Offer For Customer,Offers & Discounts,please given discount and offer for customer,Looking For Offers/Discounts,Looking for offers/discounts,Low Intent,Working Professional,1,0,0,0,Very Satisfied,5,Rarely
Changed My Mind,Changed My Mind,25-34,No,Pune,Others,Yes. I Found It Easy To Use And Place The Order.,1,yes. i found it easy to use and place the order.,Discounts/Offers,Discounts/Offers,Browse,Rarely,1,0,0,1,0,0,Stop Sending Unnecessary Notification. Sometimes Consumer Gets Irritated Seeing Frequent Notification.,Delivery Issue,stop sending unnecessary notification. sometimes consumer gets irritated seeing frequent notification.,Just Browsing Options,Just browsing options,Low Intent,Working Professional,1,0,0,0,Neutral,3,Rarely
Changed My Mind,Changed My Mind,25-34,Yes,Gurgaon,Others,Yes,1,yes,"Price, Ratings & Reviews","Price, Ratings & Reviews",Browse,Rarely,1,0,0,0,1,1,Restaurant Service,Customer Support,restaurant service,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,1,0,0,0,Neutral,3,Rarely
Changed My Mind,Changed My Mind,25-34,Yes,Gurgaon,Others,"Yes, To Compare The Changes",1,"yes, to compare the changes","Price, Ratings & Reviews, Discounts/Offers, Cuisine Preference","Price, Ratings & Reviews, Discounts/Offers, Cuisine Preference",Compare,Rarely,1,1,0,1,1,1,None,Others,none,Just Browsing Options,Just browsing options,Low Intent,Working Professional,1,0,0,0,Very Satisfied,5,Weekly
Changed My Mind,Changed My Mind,25-34,Yes,Gurgoan,Swiggy,Swiggy & Bistro,1,swiggy & bistro,"Price, Ratings & Reviews, Delivery Time, Discounts/Offers","Price, Ratings & Reviews, Delivery Time, Discounts/Offers",Compare,Sometimes,2,0,2,2,2,2,Not Sure,No Feedback,not sure,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,2,0,0,0,Neutral,3,Rarely
Changed My Mind,Changed My Mind,25-34,Yes,Gwalior,Others,No,0,no,Cuisine Preference,Cuisine Preference,Browse,Sometimes,2,1,0,0,0,0,Nothing In My Mind Right Now,No Feedback,nothing in my mind right now,Exploring Restaurants,Exploring restaurants,Low Intent,Working Professional,1,0,0,0,Neutral,3,Rarely
Changed My Mind,Changed My Mind,25-34,Yes,Indore,Others,Very Much,1,very much,Cuisine Preference,Cuisine Preference,Compare,Sometimes,2,1,0,0,0,0,Zomato Should Delivery Women ?? ...Just Kidding ...They Must Improve Handling Of The Food,Delivery Issue,zomato should delivery women ?? ...just kidding ...they must improve handling of the food,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Working Professional,1,0,0,0,Neutral,3,Frequently
"Changed My Mind, Found A Better Option","Changed My Mind, Found A Better Option",18-24,Yes,Ahmedabad,Others,Yes,1,yes,"Ratings & Reviews, Discounts/Offers","Ratings & Reviews, Discounts/Offers",Compare,Rarely,1,0,0,1,0,1,Platform Fees And Hidden Charges Even After Having Membership,Pricing Issue,platform fees and hidden charges even after having membership,I’M Hungry And Want To Order Quickly,I'm hungry and want to order quickly,High Intent,Student,1,1,0,0,Very Satisfied,5,Rarely
